instnm,unitid,year,private,aca,benstaff,carnegie,cf,city,core,crash,d1987,d1989,d1991,d1999,d2002,d2005,d2008,d2010,d2011,donor,fteex,ftef,ftenap,ftenap2,ftenpro,ftepro,ftestu,ftgrad,ftug,fwest,ga,glakes,hosp,invest,medical,neweng,oh,other,prof,ptf,ptnap,ptnap2,ptnpro,ptpro,ptstu,rev,rural,staffsal,staffsize,stem,tc,tt,ttnap,ttnap2
University of Miami,135726,2005,1,40.528,25.099,1,7.775,1,28.67,0,0,0,0,0,0,1,0,0,0,10.807,9.554,15.894,16.158,261.089,17.882,6.605,14.765,4.401,9.766,0,2.78,0,13.747,7.982,1,0,56.489,43.593,0,0.988,0.325,0.106,0.521,0.251,0.598,96.816,0,129.248,2.563,0,97.017,7.132,0.441,0.197
University of Miami,135726,2008,1,47.032,27.569,1,9.411,1,30.77,1,0,0,0,0,0,0,1,0,0,11.257,14.333,24.664,23.957,573.92,17.607,9.624,14.568,4.394,9.513,0,2.134,0,19.654,13.972,1,0,79.7,46.02,0,7.208,0.144,0.021,0.13,0.082,0.661,107.701,0,89.049,1.9,0,126.732,8.045,0.338,0.114
University of Miami,135726,2010,1,54.787,30.348,1,15.375,1,31.863,1,0,0,0,0,0,0,0,1,0,10.346,15.233,24.38,24.211,586.191,18.698,8.978,14.836,4.676,9.64,0,2.289,0,41.676,-16.4,1,0,91.859,53.009,0,1.126,0.162,0.026,0.195,0.097,0.52,136.894,0,101.472,1.817,0,146.646,7.879,0.328,0.107
University of Miami,135726,2011,1,53.258,31.19,1,15.165,1,32.406,1,0,0,0,0,0,0,0,0,1,10.715,15.677,23.859,24.626,606.454,18.699,8.95,15.252,4.903,9.833,0,2.218,0,47.169,9.247,1,0,92.741,55.106,0,1.036,0.164,0.027,0.197,0.092,0.516,145.396,0,100.89,1.764,0,145.999,7.658,0.313,0.098
Nova Southeastern University,136215,1987,1,10.965,9.659,0,1.21,1,13.39,0,1,0,0,0,0,0,0,0,0,0.175,2.663,1.703,7.219,52.108,6.701,4.556,5.207,1.899,1.314,0,0.013,0,0.0,0.117,0,0,5.718,1.413,1,0.013,0.304,0.093,0.247,0.235,1.994,14.977,0,50.11,4.228,0,16.684,0.48,0.069,0.005
Nova Southeastern University,136215,1989,1,12.654,12.272,0,1.428,1,12.705,0,0,1,0,0,0,0,0,0,0,0.344,2.888,2.043,7.257,52.664,5.658,4.369,6.231,1.726,1.855,0,0.0,0,0.0,0.137,0,0,6.24,2.053,1,0.053,0.291,0.085,0.217,0.228,2.65,15.101,0,60.304,3.471,0,18.894,0.562,0.077,0.007
Nova Southeastern University,136215,1991,1,12.612,13.781,0,1.578,1,15.314,0,0,0,1,0,0,0,0,0,0,0.362,1.789,2.068,9.17,84.089,6.852,7.381,6.463,1.918,2.072,0,0.005,0,0.0,0.074,0,0,6.698,2.091,1,0.056,1.047,1.096,0.276,1.021,2.473,17.767,0,50.622,7.953,0,19.31,0.433,0.047,0.003
Nova Southeastern University,136215,1999,1,17.079,15.166,0,3.552,1,20.957,0,0,0,0,1,0,0,0,0,0,1.042,1.411,6.283,6.262,39.211,5.941,4.851,12.471,3.734,2.609,0,0.738,0,0.0,0.553,0,0,7.921,3.12,1,2.49,0.087,0.008,0.103,0.144,6.128,25.12,0,65.013,7.649,0,25.0,0.241,0.038,0.002
Nova Southeastern University,136215,2002,1,16.346,15.997,0,0.871,1,21.921,0,0,0,0,0,1,0,0,0,0,1.045,2.058,5.661,6.588,43.406,7.038,4.53,14.237,6.79,2.782,0,0.0,0,0.0,1.03,0,0,7.932,1.952,1,6.406,0.162,0.026,0.351,0.155,4.665,24.918,0,63.558,5.621,0,24.278,2.676,0.406,0.185
Nova Southeastern University,136215,2005,1,13.81,16.687,0,3.727,1,20.345,0,0,0,0,0,0,1,0,0,0,1.185,2.057,5.823,5.618,31.559,5.591,3.561,17.841,9.139,3.379,0,0.0,0,0.0,0.795,0,0,8.772,2.226,1,1.911,0.123,0.015,0.28,0.09,5.323,23.756,0,84.612,4.449,0,22.582,0.185,0.033,0.001
Nova Southeastern University,136215,2008,1,14.84,17.576,0,3.573,1,20.946,1,0,0,0,0,0,0,1,0,0,0.506,2.451,5.57,6.532,42.661,5.714,4.08,19.337,9.997,3.682,0,0.0,0,0.0,1.655,0,0,10.414,2.275,1,1.815,0.026,0.001,0.088,0.01,5.658,23.728,0,66.217,3.996,0,25.254,0.181,0.028,0.001
Nova Southeastern University,136215,2010,1,15.736,18.323,0,3.88,1,23.448,1,0,0,0,0,0,0,0,1,0,0.816,3.104,5.678,6.999,48.981,5.486,3.895,20.361,10.889,4.257,0,0.0,0,0.0,-0.524,0,0,10.396,3.168,1,1.635,0.029,0.001,0.096,0.015,5.215,27.432,0,68.415,3.022,0,26.132,0.162,0.023,0.001
Nova Southeastern University,136215,2011,1,15.522,17.415,0,4.488,1,25.131,1,0,0,0,0,0,0,0,0,1,0.873,2.632,6.234,6.737,45.387,5.672,4.105,20.098,10.726,4.165,0,0.0,0,0.0,0.449,0,0,10.165,2.592,1,1.587,0.03,0.001,0.09,0.015,5.207,28.596,0,66.172,3.715,0,25.687,0.159,0.024,0.001
Emory University,139658,1987,1,26.332,5.547,1,7.764,1,18.967,0,1,0,0,0,0,0,0,0,0,8.161,1.662,13.99,24.87,618.504,34.657,23.208,8.243,1.221,4.931,0,0.024,0,55.357,10.09,1,0,99.418,15.868,0,0.488,1.845,3.406,1.225,1.845,2.091,98.353,0,34.213,34.818,0,125.75,5.738,0.249,0.062
Emory University,139658,1989,1,34.973,8.267,1,9.389,1,20.011,0,0,1,0,0,0,0,0,0,0,5.23,1.357,14.677,26.345,694.062,33.967,24.988,8.648,1.396,5.294,0,0.031,0,56.907,10.354,1,0,96.9,17.175,0,0.431,1.832,3.355,1.301,1.828,1.958,99.323,0,41.771,43.455,0,131.873,4.856,0.184,0.039
Emory University,139658,1991,1,33.91,8.506,1,9.738,1,23.182,0,0,0,1,0,0,0,0,0,0,5.247,2.2,15.124,29.685,881.223,33.613,27.486,8.955,3.114,5.303,0,0.0,0,62.928,9.478,1,0,93.729,25.733,0,0.416,2.012,4.049,1.282,2.001,0.538,117.09,0,38.854,27.773,0,127.638,4.97,0.167,0.032
Emory University,139658,1999,1,62.131,27.178,1,15.523,1,23.924,0,0,0,0,1,0,0,0,0,0,51.542,3.479,21.417,22.983,528.222,15.23,19.504,10.481,2.466,6.055,0,0.0,0,100.294,39.003,1,0,131.783,32.495,0,0.532,0.686,0.471,0.605,1.946,1.96,208.254,0,163.077,9.985,0,193.913,5.362,0.233,0.058
Emory University,139658,2002,1,56.022,25.27,1,12.498,1,24.511,0,0,0,0,0,1,0,0,0,0,13.977,4.839,22.371,32.834,1078.081,16.814,27.996,11.098,4.581,6.18,0,0.0,0,104.158,-51.61,1,0,143.176,33.937,0,2.37,2.442,5.963,1.307,2.37,0.337,176.583,0,139.325,9.261,0,199.197,9.092,0.277,0.084
Emory University,139658,2005,1,61.49,33.67,1,13.361,1,25.774,0,0,0,0,0,0,1,0,0,0,10.436,5.361,23.345,31.729,1006.746,15.358,26.368,11.624,4.866,6.421,0,0.0,0,120.181,41.865,1,0,163.167,46.351,0,0.676,3.183,10.133,1.385,2.813,0.337,202.742,0,214.817,7.783,0,224.658,9.309,0.293,0.092
Emory University,139658,2008,1,64.674,36.335,1,16.141,1,26.222,1,0,0,0,0,0,0,1,0,0,32.99,6.718,27.059,31.89,1016.941,12.888,25.172,12.236,5.094,6.738,0,2.686,0,126.484,71.633,1,0,166.813,43.438,0,1.487,1.193,1.424,0.736,1.046,0.404,229.133,0,158.418,5.665,0,231.487,9.431,0.307,0.094
Emory University,139658,2010,1,74.885,34.833,1,14.372,1,28.296,1,0,0,0,0,0,0,0,1,0,10.067,2.848,25.146,34.47,1188.17,16.587,31.622,12.817,5.324,7.142,0,3.175,0,140.176,-63.089,1,0,166.446,43.935,0,1.529,0.855,0.731,0.603,0.85,0.351,222.474,0,153.464,16.929,0,241.331,9.246,0.275,0.076
Emory University,139658,2011,1,71.585,36.903,1,14.528,1,27.639,1,0,0,0,0,0,0,0,0,1,11.793,2.916,24.92,35.237,1241.652,15.081,32.321,13.202,5.405,7.368,0,3.2,0,144.956,51.817,1,0,172.523,55.769,0,1.621,0.962,0.925,0.379,0.954,0.429,240.157,0,160.345,16.255,0,244.108,8.771,0.256,0.065
University of Chicago,144050,1987,1,47.585,12.534,1,5.033,1,33.591,0,1,0,0,0,0,0,0,0,0,9.584,4.463,11.772,21.184,448.751,36.363,16.721,9.179,4.402,3.168,0,1.039,1,37.255,8.193,1,0,92.409,85.643,0,0.061,0.834,0.696,1.111,0.805,1.609,166.074,0,56.915,11.896,0,139.995,6.678,0.328,0.108
University of Chicago,144050,1989,1,54.534,15.583,1,4.798,1,33.608,0,0,1,0,0,0,0,0,0,0,9.052,5.188,11.071,22.773,518.59,21.559,17.585,9.65,4.725,3.349,0,0.968,1,0.0,6.677,1,0,96.334,80.696,0,0.034,0.472,0.223,0.544,0.445,1.576,123.355,0,70.932,7.545,0,150.868,6.238,0.274,0.078
University of Chicago,144050,1991,1,52.909,13.736,1,5.184,1,37.979,0,0,0,1,0,0,0,0,0,0,8.467,6.417,11.26,25.757,663.417,23.513,19.34,9.896,5.887,3.351,0,0.85,1,0.0,7.281,1,0,103.806,90.346,0,0.033,0.807,0.651,1.18,0.777,0.658,136.793,0,67.079,6.679,0,156.716,6.043,0.235,0.059
University of Chicago,144050,1999,1,70.388,17.062,1,12.303,1,31.145,0,0,0,0,1,0,0,0,0,0,15.556,4.53,21.321,23.982,575.119,27.669,19.452,10.786,5.215,3.795,0,1.273,1,0.0,43.034,1,0,86.739,99.438,0,1.851,4.577,20.949,5.455,13.712,1.776,146.139,0,72.403,10.402,0,157.126,7.167,0.299,0.136
University of Chicago,144050,2002,1,65.474,17.274,1,2.172,1,33.317,0,0,0,0,0,1,0,0,0,0,17.264,5.042,20.601,28.888,834.514,26.853,23.846,11.742,6.661,4.191,0,1.357,1,0.0,-30.119,1,0,90.537,101.861,0,5.135,6.285,39.503,5.825,6.149,0.89,152.442,0,68.08,10.056,0,156.01,16.735,0.579,0.533
University of Chicago,144050,2005,1,67.171,19.275,1,8.458,1,34.883,0,0,0,0,0,0,1,0,0,0,15.539,4.032,18.916,23.457,550.235,20.654,19.425,12.474,6.821,4.614,0,1.532,1,0.0,45.342,1,0,99.5,100.244,0,1.648,5.588,31.222,4.866,5.467,1.039,150.665,0,116.055,9.94,0,166.671,8.81,0.376,0.166
University of Chicago,144050,2008,1,72.172,24.903,1,8.184,1,36.115,1,0,0,0,0,0,0,1,0,0,27.316,5.175,26.111,26.05,678.598,20.238,20.875,13.025,6.975,4.955,0,1.404,1,0.0,81.192,1,0,116.083,97.662,0,9.136,1.797,3.228,1.489,1.743,1.095,161.094,0,81.577,7.945,0,188.255,8.791,0.362,0.131
University of Chicago,144050,2010,1,86.778,23.934,1,15.824,1,36.686,1,0,0,0,0,0,0,0,1,0,28.705,6.291,25.718,29.676,880.656,16.163,23.385,13.543,7.329,5.218,0,1.382,1,0.0,-90.743,1,0,115.303,101.113,0,1.632,1.866,3.483,1.19,1.78,0.996,166.504,0,84.869,6.286,0,202.08,8.263,0.297,0.088
University of Chicago,144050,2011,1,92.674,26.15,1,15.744,1,38.304,1,0,0,0,0,0,0,0,0,1,19.817,6.937,25.669,30.661,940.091,15.282,23.724,13.421,7.137,5.32,0,1.352,1,0.0,71.275,1,0,122.482,144.803,0,1.595,2.079,4.322,1.237,1.975,0.964,202.924,0,87.72,5.623,0,215.156,8.33,0.291,0.085
Illinois Institute of Technology,145725,1987,1,11.87,10.19,0,1.395,1,16.873,0,1,0,0,0,0,0,0,0,0,2.868,2.081,8.253,4.251,18.068,9.667,2.17,4.086,0.548,1.911,0,0.0,1,0.0,1.034,0,0,19.055,4.532,0,2.011,0.016,0.0,0.097,0.016,1.627,24.273,0,47.377,5.69,1,30.925,4.846,1.145,1.31
Illinois Institute of Technology,145725,1989,1,10.833,10.626,0,1.827,1,16.296,0,0,1,0,0,0,0,0,0,0,3.325,1.713,8.597,4.849,23.515,8.563,3.136,4.379,0.523,1.853,0,0.128,1,0.0,0.962,0,0,18.821,4.97,0,2.088,0.008,0.0,0.113,0.008,2.003,24.591,0,57.894,6.83,1,29.653,4.682,0.965,0.935
Illinois Institute of Technology,145725,1991,1,10.26,0.0,0,1.024,1,17.54,0,0,0,1,0,0,0,0,0,0,3.523,1.647,5.566,4.052,16.417,7.814,2.404,4.492,1.346,1.746,0,0.0,1,0.0,0.986,0,0,17.575,4.558,0,0.0,0.0,0.0,0.0,0.0,1.4,25.622,0,59.416,6.203,1,27.835,4.542,1.121,1.256
Illinois Institute of Technology,145725,1999,1,18.336,13.481,0,1.613,1,18.165,0,0,0,0,1,0,0,0,0,0,15.059,2.212,8.048,8.293,68.776,6.611,6.081,4.34,1.095,1.278,0,0.0,1,0.0,8.056,0,0,17.732,6.403,0,1.597,0.091,0.008,0.16,0.276,1.967,39.627,0,69.72,5.738,1,36.068,4.838,0.583,0.348
Illinois Institute of Technology,145725,2002,1,17.681,14.73,0,0.0,1,17.487,0,0,0,0,0,1,0,0,0,0,15.507,3.115,8.341,8.846,78.249,5.337,5.731,4.816,2.345,1.544,0,1.665,1,0.0,-2.131,0,0,19.187,9.339,0,4.07,0.021,0.0,0.54,0.021,0.927,42.333,0,76.534,3.553,1,36.868,19.0,2.148,5.233
Illinois Institute of Technology,145725,2005,1,15.64,15.747,0,2.189,1,16.452,0,0,0,0,0,0,1,0,0,0,3.39,3.873,8.894,8.089,65.434,4.702,4.216,5.344,2.59,1.988,0,2.353,1,0.0,8.176,0,0,20.106,8.88,0,1.859,0.075,0.006,0.299,0.075,0.766,28.722,0,83.546,2.302,1,35.745,4.846,0.599,0.361
Illinois Institute of Technology,145725,2008,1,19.67,17.0,0,2.257,1,15.873,1,0,0,0,0,0,0,1,0,0,4.961,4.229,8.111,6.707,44.979,4.229,2.478,6.337,3.163,2.416,0,2.312,1,0.0,8.203,0,0,18.999,9.038,0,1.42,0.095,0.009,0.126,0.047,0.758,29.871,0,83.965,1.586,1,38.669,4.434,0.671,0.45
Illinois Institute of Technology,145725,2010,1,20.536,18.635,0,2.537,1,17.576,1,0,0,0,0,0,0,0,1,0,4.874,4.561,8.242,7.42,55.063,3.226,2.86,6.819,3.788,2.437,0,2.004,1,0.0,-17.186,0,0,14.899,10.967,0,1.54,0.361,0.131,0.093,0.327,0.594,33.416,0,82.081,1.334,1,35.435,4.165,0.59,0.348
Illinois Institute of Technology,145725,2011,1,22.463,18.538,0,2.455,1,18.626,1,0,0,0,0,0,0,0,0,1,4.663,4.431,8.12,7.539,56.84,3.327,3.109,6.884,3.809,2.513,0,2.229,1,0.0,4.224,0,0,12.755,12.233,0,1.54,0.407,0.165,0.087,0.378,0.562,35.521,0,80.295,1.452,1,35.218,4.126,0.578,0.335
Loyola University Chicago,146719,1987,1,10.016,3.891,0,2.374,1,14.348,0,1,0,0,0,0,0,0,0,0,1.359,1.526,10.492,18.038,325.356,27.526,16.512,10.025,0.827,5.576,0,0.0,1,33.242,0.289,1,0,53.232,5.165,0,2.462,0.063,0.004,0.194,0.023,3.622,54.113,0,21.863,28.862,0,63.248,5.656,0.315,0.099
Loyola University Chicago,146719,1989,1,11.171,4.173,0,4.646,1,13.417,0,0,1,0,0,0,0,0,0,0,1.264,1.476,11.499,19.274,371.468,28.017,17.798,10.546,0.925,5.825,0,1.784,1,37.617,0.403,1,0,60.226,4.988,0,1.533,0.063,0.004,0.244,0.019,3.796,57.286,0,21.365,31.048,0,71.398,5.32,0.276,0.077
Loyola University Chicago,146719,1991,1,10.038,4.424,0,5.012,1,14.127,0,0,0,1,0,0,0,0,0,0,1.132,1.515,12.768,19.708,388.41,28.298,18.193,11.153,2.404,5.714,0,0.0,1,46.355,0.573,1,0,66.981,5.831,0,2.367,0.036,0.001,0.323,0.036,3.035,67.445,0,18.903,30.68,0,77.019,5.389,0.273,0.075
Loyola University Chicago,146719,1999,1,21.89,5.938,0,4.411,1,17.322,0,0,0,0,1,0,0,0,0,0,2.831,1.681,13.241,20.851,434.75,35.358,19.17,9.974,1.278,5.423,0,0.046,1,0.0,6.187,1,0,20.208,12.004,0,3.596,1.591,2.532,1.922,4.802,3.273,32.156,0,25.214,32.439,0,42.098,5.233,0.251,0.074
Loyola University Chicago,146719,2002,1,15.738,14.631,0,2.756,1,17.15,0,0,0,0,0,1,0,0,0,0,4.283,1.115,8.341,8.404,70.627,12.003,7.289,11.03,3.74,5.999,0,0.0,1,0.0,-1.38,1,0,18.467,12.215,0,0.0,0.78,0.608,1.287,0.762,1.291,33.648,0,53.627,17.301,0,34.205,5.585,0.665,0.619
Loyola University Chicago,146719,2005,1,10.622,18.151,0,3.222,1,17.128,0,0,0,0,0,0,1,0,0,0,1.907,1.298,9.162,5.078,25.787,6.129,3.78,13.254,3.978,8.318,0,2.746,1,0.0,3.692,1,0,16.858,10.424,0,1.504,0.619,0.383,0.83,0.596,0.958,29.459,0,87.645,7.636,0,27.479,4.436,0.874,0.828
Loyola University Chicago,146719,2008,1,10.539,21.131,0,1.301,1,19.873,1,0,0,0,0,0,0,1,0,0,2.254,1.662,7.658,5.668,32.131,5.369,4.006,14.378,4.113,9.152,0,1.694,1,0.0,4.895,1,0,18.002,7.25,0,2.483,0.25,0.063,0.209,0.236,1.113,29.377,0,73.48,5.64,0,28.541,3.874,0.715,0.511
Loyola University-Chicago,146719,2010,1,12.323,21.872,0,1.42,1,22.27,1,0,0,0,0,0,0,0,1,0,2.714,1.607,6.995,5.589,31.242,4.336,3.983,14.438,4.448,9.042,0,1.397,1,0.0,-6.902,1,0,15.21,6.567,0,1.683,0.115,0.013,0.173,0.111,0.948,31.551,0,77.256,5.177,0,27.533,3.893,0.711,0.506
Loyola University-Chicago,146719,2011,1,12.647,22.657,0,1.444,1,23.799,1,0,0,0,0,0,0,0,0,1,2.172,1.727,7.04,5.969,35.628,4.415,4.242,14.475,4.41,9.084,0,1.409,1,0.0,4.709,1,0,15.053,5.044,0,1.61,0.131,0.017,0.159,0.124,0.981,31.015,0,75.57,5.012,0,27.7,3.986,0.683,0.466
Northwestern University,147767,1987,1,27.119,15.157,1,2.566,0,23.28,0,1,0,0,0,0,0,0,0,0,3.438,2.694,8.867,7.862,61.816,12.136,5.169,14.378,3.814,7.615,0,1.278,1,0.0,3.896,1,0,26.087,19.14,0,0.744,0.17,0.029,0.34,0.147,2.949,45.858,0,74.351,6.424,0,53.205,5.557,0.722,0.522
Northwestern University,147767,1989,1,30.298,14.654,1,3.371,0,23.758,0,0,1,0,0,0,0,0,0,0,3.622,3.357,9.701,7.499,56.228,12.439,4.142,14.684,4.059,7.651,0,2.553,1,0.0,3.69,1,0,26.751,19.142,0,0.807,0.157,0.025,0.324,0.124,2.974,46.522,0,74.86,4.939,0,57.05,5.523,0.737,0.566
Northwestern University,147767,1991,1,34.291,11.961,1,5.443,0,24.975,0,0,0,1,0,0,0,0,0,0,4.486,3.751,11.418,8.657,74.945,12.923,4.906,14.956,6.002,7.596,0,2.524,1,0.0,3.678,1,0,25.953,16.59,0,0.413,0.179,0.032,0.366,0.152,1.358,46.051,0,77.414,4.754,0,60.243,5.563,0.643,0.431
Northwestern University,147767,1999,1,44.652,15.941,1,5.499,0,25.441,0,0,0,0,1,0,0,0,0,0,22.388,4.644,12.341,10.588,112.111,13.174,5.944,15.076,4.444,7.957,0,0.569,1,0.0,6.033,1,0,20.003,20.928,0,1.443,0.274,0.075,0.359,0.405,2.675,68.757,0,80.857,4.117,0,64.655,5.399,0.51,0.274
Northwestern University,147767,2002,1,44.707,14.815,1,6.959,0,28.135,0,0,0,0,0,1,0,0,0,0,17.691,5.31,20.26,15.119,228.58,13.613,9.809,15.405,6.257,7.804,0,0.829,1,0.0,-22.612,1,0,26.571,22.97,0,5.115,0.578,0.334,1.013,0.441,1.344,68.796,0,64.244,4.411,0,71.278,11.613,0.768,0.691
Northwestern University,147767,2005,1,44.086,18.689,1,4.7,0,29.272,0,0,0,0,0,0,1,0,0,0,12.845,1.645,12.623,15.442,238.447,12.714,13.797,16.192,6.968,8.045,0,0.0,1,0.0,38.687,1,0,36.179,27.489,0,0.715,0.753,0.568,0.889,0.729,1.179,69.606,0,115.827,16.118,0,80.265,7.207,0.467,0.225
Northwestern University,147767,2008,1,45.753,18.825,1,5.101,0,29.107,1,0,0,0,0,0,0,1,0,0,17.751,1.66,12.604,16.685,278.386,12.207,15.025,17.351,7.763,8.341,0,1.858,1,0.0,73.943,1,0,44.33,31.359,0,0.334,0.167,0.028,0.225,0.161,1.247,78.217,0,87.552,16.406,0,90.083,7.17,0.434,0.188
Northwestern University,147767,2010,1,55.264,21.207,1,5.742,0,30.109,1,0,0,0,0,0,0,0,1,0,17.206,1.089,13.31,17.308,299.578,12.402,16.219,18.182,8.208,8.535,0,2.563,1,0.0,-67.909,1,0,35.471,31.683,0,0.533,0.196,0.038,0.24,0.196,1.439,78.998,0,87.785,26.283,0,90.735,7.034,0.411,0.169
Northwestern University,147767,2011,1,55.297,21.306,1,5.442,0,30.338,1,0,0,0,0,0,0,0,0,1,15.563,1.071,12.918,17.439,304.12,12.154,16.368,18.579,8.651,8.438,0,2.449,1,0.0,57.723,1,0,31.57,36.285,0,0.587,0.167,0.028,0.188,0.167,1.49,82.186,0,87.055,26.628,0,86.866,6.889,0.399,0.159
University of Notre Dame,152080,1987,1,14.183,6.496,1,1.501,1,23.828,0,1,0,0,0,0,0,0,0,0,3.273,2.804,8.578,7.974,63.591,13.667,5.171,9.593,1.414,7.553,0,0.42,1,0.0,2.497,0,0,24.64,4.311,0,1.187,0.365,0.133,0.939,0.323,0.626,31.411,0,45.012,6.719,0,38.822,5.89,0.774,0.599
University of Notre Dame,152080,1989,1,15.81,13.074,1,0.895,1,27.228,0,0,1,0,0,0,0,0,0,0,3.941,3.046,7.473,7.413,54.958,15.696,4.367,9.716,1.461,7.588,0,0.238,1,0.0,2.664,0,0,29.804,5.865,0,0.598,0.044,0.002,0.958,0.044,0.667,37.033,0,56.38,6.586,0,45.614,5.98,0.807,0.658
University of Notre Dame,152080,1991,1,15.669,7.502,1,0.132,1,28.402,0,0,0,1,0,0,0,0,0,0,4.463,4.072,7.127,10.666,113.767,16.405,6.595,9.848,2.101,7.599,0,3.213,1,0.0,2.646,0,0,27.522,5.734,0,0.781,0.918,0.843,1.032,0.898,0.148,38.598,0,43.531,5.649,0,43.191,6.214,0.583,0.406
University of Notre Dame,152080,1999,1,23.205,12.469,1,0.086,1,30.402,0,0,0,0,1,0,0,0,0,0,14.787,4.307,7.78,9.823,96.485,18.086,5.516,10.502,1.853,7.983,0,0.0,1,0.0,41.191,0,0,25.19,5.662,0,0.867,0.091,0.008,0.603,0.181,0.666,50.851,0,64.972,5.48,0,48.395,6.827,0.695,0.492
University of Notre Dame,152080,2002,1,23.414,13.011,1,0.126,1,32.255,0,0,0,0,0,1,0,0,0,0,12.823,5.292,8.124,15.248,232.503,19.049,9.956,11.129,2.793,8.223,0,0.0,1,0.0,-30.754,0,0,33.984,6.199,0,3.298,0.836,0.698,1.941,0.8,0.113,51.276,0,62.132,5.48,0,57.398,6.91,0.453,0.271
University of Notre Dame,152080,2005,1,24.911,19.231,1,1.008,1,31.989,0,0,0,0,0,0,1,0,0,0,16.101,5.769,9.063,13.54,183.331,17.204,7.771,11.307,2.979,8.26,0,0.0,1,0.0,59.159,0,0,35.605,7.51,0,1.016,0.858,0.736,1.778,0.796,0.068,55.6,0,82.917,4.329,0,60.515,7.04,0.52,0.282
University of Notre Dame,152080,2008,1,26.881,19.484,1,4.249,1,35.299,1,0,0,0,0,0,0,1,0,0,21.419,3.94,11.106,16.599,275.541,16.393,12.66,11.651,3.256,8.337,0,1.385,1,0.0,112.824,0,0,35.791,9.049,0,0.0,0.18,0.032,0.627,0.172,0.058,65.767,0,68.509,7.375,0,62.672,6.858,0.418,0.174
University of Notre Dame,152080,2010,1,33.954,23.836,1,1.181,1,36.305,1,0,0,0,0,0,0,0,1,0,14.114,4.017,8.574,17.907,320.667,16.177,13.89,11.85,3.343,8.419,0,2.412,1,0.0,-122.874,0,0,35.125,8.77,0,0.287,0.303,0.092,0.54,0.295,0.088,59.189,0,75.589,7.485,0,69.079,7.105,0.404,0.163
University of Notre Dame,152080,2011,1,36.435,24.364,1,1.23,1,37.09,1,0,0,0,0,0,0,0,0,1,18.758,4.068,8.851,19.538,381.752,16.288,15.471,11.874,3.365,8.428,0,2.901,1,0.0,101.462,0,0,34.939,9.851,0,0.32,0.278,0.077,0.598,0.269,0.081,65.699,0,71.006,7.807,0,71.375,7.302,0.379,0.144
Tulane University of Louisiana,160755,1987,1,17.814,8.796,1,4.829,1,20.119,0,1,0,0,0,0,0,0,0,0,1.924,6.372,9.578,8.963,80.339,16.604,2.591,9.112,1.417,5.436,0,0.348,0,17.581,1.582,1,0,38.397,15.283,0,0.293,0.326,0.106,1.195,0.243,2.259,54.907,0,46.341,3.012,0,56.211,4.456,0.516,0.266
Tulane University of Louisiana,160755,1989,1,20.445,9.345,1,5.174,1,22.249,0,0,1,0,0,0,0,0,0,0,3.337,5.269,9.817,8.127,66.046,18.059,2.857,9.412,1.548,5.496,0,0.014,0,17.095,1.464,1,0,47.355,13.448,0,0.053,0.137,0.019,0.4,0.074,2.368,56.13,0,51.065,3.969,0,67.799,4.59,0.565,0.33
Tulane University of Louisiana,160755,1991,1,20.538,9.573,1,4.518,1,25.267,0,0,0,1,0,0,0,0,0,0,2.41,4.821,9.291,8.236,67.832,16.336,3.415,9.672,3.439,5.357,0,0.027,0,20.072,1.448,1,0,47.383,13.36,0,0.068,0.109,0.012,0.372,0.075,0.876,61.108,0,52.32,4.097,0,67.922,4.704,0.571,0.335
Tulane University of Louisiana,160755,1999,1,32.06,12.558,1,3.598,1,20.598,0,0,0,0,1,0,0,0,0,0,6.144,3.177,11.017,7.36,54.175,22.067,4.184,10.116,2.083,5.621,0,0.0,0,12.668,10.052,1,0,25.898,13.886,0,0.548,0.124,0.015,0.754,0.366,2.412,53.297,0,71.256,8.264,0,57.958,6.871,0.933,0.901
Tulane University of Louisiana,160755,2002,1,31.191,13.075,1,4.963,1,22.814,0,0,0,0,0,1,0,0,0,0,8.707,3.174,10.085,10.75,115.567,24.497,7.576,10.679,3.852,5.85,0,0.0,0,12.505,4.73,1,0,29.917,13.712,0,0.0,0.646,0.417,3.624,0.646,0.977,57.737,0,67.972,10.103,0,61.109,5.122,0.476,0.517
Tulane University of Louisiana,160755,2008,1,32.568,6.99,1,2.724,1,25.137,1,0,0,0,0,0,0,1,0,0,8.922,1.193,13.633,13.981,195.468,17.075,12.788,9.47,3.422,5.239,0,0.0,0,7.103,16.961,1,0,26.972,35.656,0,2.661,0.169,0.029,1.827,0.158,0.809,76.818,0,66.408,25.027,0,59.54,8.247,0.597,0.357
Tulane University of Louisiana,160755,2010,1,35.077,7.966,1,5.089,1,25.945,1,0,0,0,0,0,0,0,1,0,5.174,4.46,11.943,8.497,72.197,21.632,4.037,10.651,3.704,5.993,0,0.0,0,10.701,-18.888,1,0,32.308,24.331,0,1.634,0.375,0.141,1.607,0.278,0.954,66.152,0,72.345,5.756,0,67.385,5.22,0.643,0.413
Tulane University of Louisiana,160755,2011,1,34.868,8.788,1,4.961,1,26.435,1,0,0,0,0,0,0,0,0,1,5.251,4.207,11.715,8.014,64.222,20.58,3.807,11.268,3.858,6.403,0,0.0,0,9.66,13.661,1,0,29.477,20.068,0,1.633,0.319,0.102,1.571,0.257,1.007,61.415,0,73.959,5.797,0,64.345,5.121,0.666,0.443
