conum,year,co_code,gdp,pop,gold,silver,bronze,medaltot,host,planned,soviet,missing
145,84,PAN,5.96,2.12286,0.0,0.0,0.0,0.0,0,0,0,0.0
145,80,PAN,5.28,1.95,,,,,0,0,0,1.0
146,84,PNG,3.14,3.3679,0.0,0.0,0.0,0.0,0,0,0,0.0
146,60,PNG,1.23,1.92,,,,,0,0,0,1.0
146,64,PNG,1.57,2.09778,,,,,0,0,0,1.0
146,68,PNG,1.99,2.30838,,,,,0,0,0,1.0
146,72,PNG,2.68,2.53513,,,,,0,0,0,1.0
146,80,PNG,3.05,3.086,,,,,0,0,0,1.0
146,88,PNG,3.62,3.67355,,,,,0,0,0,1.0
147,84,PRY,6.09,3.50104,0.0,0.0,0.0,0.0,0,0,0,0.0
147,60,PRY,1.63,1.842,,,,,0,0,0,1.0
147,64,PRY,1.91,2.03032,,,,,0,0,0,1.0
147,72,PRY,2.79,2.46255,,,,,0,0,0,1.0
147,80,PRY,5.83,3.114,,,,,0,0,0,1.0
148,80,PER,48.2,17.3,0.0,0.0,0.0,0.0,0,0,0,0.0
148,84,PER,46.8,19.1,0.0,1.0,0.0,1.0,0,0,0,0.0
149,84,PHL,57.0,53.2,0.0,0.0,0.0,0.0,0,0,0,0.0
149,80,PHL,56.4,48.3,,,,,0,0,0,1.0
150,80,POL,108.0,35.6,3.0,14.0,15.0,32.0,0,0,1,0.0
150,84,POL,103.0,36.9,,,,,0,0,1,1.0
151,84,PRT,71.4,9.989,1.0,0.0,2.0,3.0,0,0,0,0.0
151,80,PRT,70.3,9.766,0.0,0.0,0.0,0.0,0,0,0,0.0
152,80,PTO,27.2,3.206,0.0,0.0,0.0,0.0,0,0,0,0.0
152,84,PTO,28.6,3.34484,0.0,1.0,1.0,2.0,0,0,0,0.0
153,84,QAT,7.27,0.32789,0.0,0.0,0.0,0.0,0,0,0,0.0
154,80,ROM,36.5,22.2,6.0,6.0,13.0,25.0,0,0,1,0.0
154,84,ROM,42.6,22.6,20.0,16.0,17.0,53.0,0,0,1,0.0
155,80,RSI,1190.0,265.0,80.0,69.0,46.0,195.0,1,0,1,0.0
155,84,RSI,1110.0,275.0,,,,,0,0,1,1.0
157,84,RWA,1.81,5.8561,0.0,0.0,0.0,0.0,0,0,0,0.0
157,60,RWA,0.757,2.742,,,,,0,0,0,1.0
157,64,RWA,0.636,3.08684,,,,,0,0,0,1.0
157,68,RWA,0.834,3.49806,,,,,0,0,0,1.0
157,72,RWA,0.995,3.97594,,,,,0,0,0,1.0
157,76,RWA,1.22,4.52881,,,,,0,0,0,1.0
157,80,RWA,1.66,5.163,,,,,0,0,0,1.0
158,84,WSM,0.138,0.15713,0.0,0.0,0.0,0.0,0,0,0,0.0
158,80,WSM,0.151,0.155,,,,,0,0,0,1.0
159,80,SNM,0.406,0.02,0.0,0.0,0.0,0.0,0,0,0,0.0
159,84,SNM,0.445,0.02,0.0,0.0,0.0,0.0,0,0,0,0.0
159,64,SNM,0.28,0.02,,,,,0,0,0,1.0
160,88,STP,0.0417,0.10863,,,,,0,0,0,1.0
160,92,STP,0.043,0.12176,,,,,0,0,0,1.0
161,84,SAU,94.3,11.7,0.0,0.0,0.0,0.0,0,0,0,0.0
161,60,SAU,15.1,4.075,,,,,0,0,0,1.0
161,64,SAU,22.3,4.64548,,,,,0,0,0,1.0
161,68,SAU,31.8,5.30984,,,,,0,0,0,1.0
161,80,SAU,106.0,9.372,,,,,0,0,0,1.0
162,80,SEN,3.09,5.538,0.0,0.0,0.0,0.0,0,0,0,0.0
162,84,SEN,3.45,6.19776,0.0,0.0,0.0,0.0,0,0,0,0.0
162,60,SEN,2.16,3.187,,,,,0,0,0,1.0
162,68,SEN,2.57,3.93241,,,,,0,0,0,1.0
163,80,SYC,0.314,0.0644,0.0,0.0,0.0,0.0,0,0,0,0.0
163,84,SYC,0.303,0.0669,0.0,0.0,0.0,0.0,0,0,0,0.0
163,60,SYC,0.107,0.0417,,,,,0,0,0,1.0
163,64,SYC,0.129,0.04632,,,,,0,0,0,1.0
163,68,SYC,0.14,0.05113,,,,,0,0,0,1.0
163,72,SYC,0.188,0.05607,,,,,0,0,0,1.0
163,76,SYC,0.249,0.0607,,,,,0,0,0,1.0
163,88,SYC,0.367,0.06885,,,,,0,0,0,1.0
164,80,SLE,1.03,3.236,0.0,0.0,0.0,0.0,0,0,0,0.0
164,84,SLE,1.07,3.51082,0.0,0.0,0.0,0.0,0,0,0,0.0
164,60,SLE,0.544,2.241,,,,,0,0,0,1.0
164,64,SLE,0.629,2.38862,,,,,0,0,0,1.0
164,68,SLE,0.699,2.5599,,,,,0,0,0,1.0
164,72,SLE,0.86,2.76112,,,,,0,0,0,1.0
165,84,SGP,38.4,2.444,0.0,0.0,0.0,0.0,0,0,0,0.0
165,64,SGP,5.91,1.65806,,,,,0,0,0,1.0
165,80,SGP,28.0,2.282,,,,,0,0,0,1.0
168,84,SLB,0.177,0.26074,0.0,0.0,0.0,0.0,0,0,0,0.0
168,68,SLB,0.085,0.15087,,,,,0,0,0,1.0
168,72,SLB,0.0636,0.17172,,,,,0,0,0,1.0
168,76,SLB,0.09,0.19672,,,,,0,0,0,1.0
168,80,SLB,0.132,0.227,,,,,0,0,0,1.0
169,84,SOM,1.26,6.46972,0.0,0.0,0.0,0.0,0,0,0,0.0
169,60,SOM,3.02,2.82,,,,,0,0,0,1.0
169,64,SOM,2.61,3.07886,,,,,0,0,0,1.0
169,68,SOM,2.26,3.44242,,,,,0,0,0,1.0
169,80,SOM,1.45,5.853,,,,,0,0,0,1.0
170,64,ZAF,55.4,19.4,,,,,0,0,0,1.0
170,68,ZAF,70.7,21.2,,,,,0,0,0,1.0
170,72,ZAF,83.7,23.1,,,,,0,0,0,1.0
170,76,ZAF,98.4,25.3,,,,,0,0,0,1.0
170,80,ZAF,111.0,27.6,,,,,0,0,0,1.0
170,84,ZAF,121.0,30.5,,,,,0,0,0,1.0
170,88,ZAF,126.0,33.7,,,,,0,0,0,1.0
171,84,ESP,413.0,38.3,1.0,2.0,2.0,5.0,0,0,0,0.0
171,80,ESP,393.0,37.4,1.0,3.0,2.0,6.0,0,0,0,0.0
172,80,LKA,6.66,14.7,0.0,0.0,0.0,0.0,0,0,0,0.0
172,84,LKA,8.07,15.6,0.0,0.0,0.0,0.0,0,0,0,0.0
173,92,KNA,0.2,0.04159,,,,,0,0,0,1.0
173,88,KNA,0.17,0.04231,,,,,0,0,0,1.0
173,76,KNA,0.0901,0.0433,,,,,0,0,0,1.0
173,84,KNA,0.127,0.04367,,,,,0,0,0,1.0
173,72,KNA,0.0832,0.0444,,,,,0,0,0,1.0
173,80,KNA,0.114,0.0444,,,,,0,0,0,1.0
173,68,KNA,0.0744,0.04638,,,,,0,0,0,1.0
173,64,KNA,0.0737,0.04915,,,,,0,0,0,1.0
173,60,KNA,0.0715,0.051,,,,,0,0,0,1.0
174,88,STL,0.35,0.1455,,,,,0,0,0,1.0
174,92,STL,0.435,0.15119,,,,,0,0,0,1.0
175,80,VCT,0.129,0.0978,,,,,0,0,0,1.0
175,84,VCT,0.158,0.10138,,,,,0,0,0,1.0
176,84,SDN,4.77,20.9,0.0,0.0,0.0,0.0,0,0,0,0.0
176,64,SDN,2.76,12.1,,,,,0,0,0,1.0
176,80,SDN,4.46,18.7,,,,,0,0,0,1.0
177,84,SUR,0.311,0.3869,0.0,0.0,0.0,0.0,0,0,0,0.0
177,64,SUR,0.279,0.323,,,,,0,0,0,1.0
177,80,SUR,0.33,0.355,,,,,0,0,0,1.0
177,68,SUR,0.285,0.356,,,,,0,0,0,1.0
178,84,SWZ,0.658,0.639,0.0,0.0,0.0,0.0,0,0,0,0.0
178,80,SWZ,0.591,0.565,,,,,0,0,0,1.0
179,84,SWE,198.0,8.337,2.0,11.0,6.0,19.0,0,0,0,0.0
179,80,SWE,185.0,8.31,3.0,3.0,6.0,12.0,0,0,0,0.0
180,80,CHE,252.0,6.319,2.0,0.0,0.0,2.0,0,0,0,0.0
180,84,CHE,261.0,6.442,0.0,4.0,4.0,8.0,0,0,0,0.0
181,80,SYR,9.33,8.704,0.0,0.0,0.0,0.0,0,0,0,0.0
181,84,SYR,10.1,10.0,0.0,1.0,0.0,1.0,0,0,0,0.0
181,60,SYR,2.17,4.561,,,,,0,0,0,1.0
181,64,SYR,2.99,5.16566,,,,,0,0,0,1.0
182,84,TAW,59.8,19.0,0.0,0.0,1.0,1.0,0,0,0,0.0
182,76,TAW,18.6,16.5,,,,,0,0,0,1.0
182,80,TAW,41.4,17.8,,,,,0,0,0,1.0
183,92,TJK,2.74,5.571,,,,,0,0,0,1.0
184,80,TZA,2.69,18.6,0.0,2.0,0.0,2.0,0,0,0,0.0
184,84,TZA,2.94,21.1,0.0,0.0,0.0,0.0,0,0,0,0.0
184,60,TZA,0.977,10.2,,,,,0,0,0,1.0
185,84,THA,65.3,50.4,0.0,1.0,0.0,1.0,0,0,0,0.0
185,80,THA,52.4,46.7,,,,,0,0,0,1.0
186,84,TGO,1.1,2.93732,0.0,0.0,0.0,0.0,0,0,0,0.0
186,60,TGO,0.352,1.514,,,,,0,0,0,1.0
186,64,TGO,0.492,1.604,,,,,0,0,0,1.0
186,68,TGO,0.688,1.853,,,,,0,0,0,1.0
186,80,TGO,1.19,2.615,,,,,0,0,0,1.0
187,84,TON,0.128,0.09525,0.0,0.0,0.0,0.0,0,0,0,0.0
188,80,TTO,4.98,1.082,0.0,0.0,0.0,0.0,0,0,0,0.0
188,84,TTO,5.79,1.16091,0.0,0.0,0.0,0.0,0,0,0,0.0
188,60,TTO,1.59,0.843,,,,,0,0,0,1.0
189,84,TUN,12.2,7.04393,0.0,0.0,0.0,0.0,0,0,0,0.0
189,80,TUN,10.5,6.384,,,,,0,0,0,1.0
190,84,TUR,105.0,49.1,0.0,0.0,3.0,3.0,0,0,0,0.0
190,80,TUR,86.8,44.5,,,,,0,0,0,1.0
191,92,TKM,6.45,4.032,,,,,0,0,0,1.0
192,80,UGA,2.86,12.8,0.0,1.0,0.0,1.0,0,0,0,0.0
192,84,UGA,3.31,13.9,0.0,0.0,0.0,0.0,0,0,0,0.0
193,92,UKR,148.0,52.2,,,,,0,0,0,1.0
194,84,ARE,28.6,1.3407,0.0,0.0,0.0,0.0,0,0,0,0.0
194,68,ARE,12.3,0.16319,,,,,0,0,0,1.0
194,72,ARE,13.7,0.29628,,,,,0,0,0,1.0
194,76,ARE,17.1,0.60148,,,,,0,0,0,1.0
194,80,ARE,31.0,1.043,,,,,0,0,0,1.0
195,84,GBR,851.0,56.5,5.0,10.0,22.0,37.0,0,0,0,0.0
195,80,GBR,800.0,56.3,5.0,7.0,9.0,21.0,0,0,0,0.0
196,84,USA,5360.0,236.0,83.0,61.0,30.0,174.0,1,0,0,0.0
196,80,USA,4900.0,227.0,,,,,0,0,0,1.0
198,84,URY,12.4,2.989,0.0,0.0,0.0,0.0,0,0,0,0.0
198,80,URY,15.2,2.914,,,,,0,0,0,1.0
199,92,UZB,24.2,21.5,,,,,0,0,0,1.0
200,80,VUT,0.164,0.11506,,,,,0,0,0,1.0
200,84,VUT,0.214,0.1269,,,,,0,0,0,1.0
201,80,VEN,60.3,15.1,0.0,1.0,0.0,1.0,0,0,0,0.0
201,84,VEN,57.4,16.7,0.0,0.0,3.0,3.0,0,0,0,0.0
202,80,VNM,8.56,53.7,0.0,0.0,0.0,0.0,0,0,0,0.0
202,84,VNM,10.4,57.7,,,,,0,0,0,1.0
206,80,ZMB,3.19,5.738,0.0,0.0,0.0,0.0,0,0,0,0.0
206,84,ZMB,3.21,6.50308,0.0,0.0,1.0,1.0,0,0,0,0.0
206,60,ZMB,1.93,3.141,,,,,0,0,0,1.0
207,80,ZWE,4.49,7.009,1.0,0.0,0.0,1.0,0,0,0,0.0
207,84,ZWE,5.17,8.03843,0.0,0.0,0.0,0.0,0,0,0,0.0
207,64,ZWE,2.03,4.32309,,,,,0,0,0,1.0
207,68,ZWE,2.39,4.93005,,,,,0,0,0,1.0
207,72,ZWE,3.89,5.578,,,,,0,0,0,1.0
207,76,ZWE,4.19,6.22858,,,,,0,0,0,1.0
210,80,CZA,68.7,15.2,2.0,3.0,9.0,14.0,0,0,1,0.0
210,84,CZA,72.1,15.5,,,,,0,0,1,1.0
211,80,YUG,103.0,22.3,2.0,3.0,4.0,9.0,0,1,0,0.0
211,84,YUG,108.0,23.0,7.0,4.0,7.0,18.0,0,1,0,0.0
1,60,AFG,15.5,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1,64,AFG,17.1,10.9,0.0,0.0,0.0,0.0,0,0,0,0.0
1,68,AFG,18.8,11.9,0.0,0.0,0.0,0.0,0,0,0,0.0
1,72,AFG,21.0,13.1,0.0,0.0,0.0,0.0,0,0,0,0.0
1,76,AFG,23.6,14.4,0.0,0.0,0.0,0.0,0,0,0,0.0
1,88,AFG,25.1,19.5,0.0,0.0,0.0,0.0,0,0,0,0.0
1,92,AFG,20.9,21.5,0.0,0.0,0.0,0.0,0,0,0,0.0
1,96,AFG,33.1,24.2,0.0,0.0,0.0,0.0,0,0,0,0.0
2,72,ALB,2.0,2.241,0.0,0.0,0.0,0.0,0,1,0,0.0
2,76,ALB,2.21,2.456,0.0,0.0,0.0,0.0,0,1,0,0.0
2,92,ALB,1.86,3.19,0.0,0.0,0.0,0.0,0,1,0,0.0
2,96,ALB,2.65,3.286,0.0,0.0,0.0,0.0,0,0,0,0.0
3,92,DZA,41.1,26.3,1.0,0.0,1.0,2.0,0,0,0,0.0
3,96,DZA,42.8,28.7,2.0,0.0,1.0,3.0,0,0,0,0.0
3,64,DZA,12.2,11.6,0.0,0.0,0.0,0.0,0,0,0,0.0
3,68,DZA,15.0,13.0,0.0,0.0,0.0,0.0,0,0,0,0.0
3,72,DZA,20.0,14.6,0.0,0.0,0.0,0.0,0,0,0,0.0
3,76,DZA,25.3,16.5,0.0,0.0,0.0,0.0,0,0,0,0.0
3,88,DZA,39.6,23.8,0.0,0.0,0.0,0.0,0,0,0,0.0
6,88,AGO,6.15,8.68431,0.0,0.0,0.0,0.0,0,0,0,0.0
6,92,AGO,5.88,9.94257,0.0,0.0,0.0,0.0,0,0,0,0.0
6,96,AGO,5.64,11.3,0.0,0.0,0.0,0.0,0,0,0,0.0
7,76,ANT,0.164,0.06235,0.0,0.0,0.0,0.0,0,0,0,0.0
7,88,ANT,0.353,0.0632,0.0,0.0,0.0,0.0,0,0,0,0.0
7,92,ANT,0.422,0.06447,0.0,0.0,0.0,0.0,0,0,0,0.0
7,96,ANT,0.456,0.06573,0.0,0.0,0.0,0.0,0,0,0,0.0
8,60,ARG,121.0,20.6,0.0,1.0,1.0,2.0,0,0,0,0.0
8,64,ARG,132.0,22.0,0.0,1.0,0.0,1.0,0,0,0,0.0
8,68,ARG,158.0,23.2,0.0,0.0,2.0,2.0,0,0,0,0.0
8,72,ARG,192.0,24.8,0.0,1.0,0.0,1.0,0,0,0,0.0
8,76,ARG,206.0,26.5,0.0,0.0,0.0,0.0,0,0,0,0.0
8,88,ARG,231.0,31.7,0.0,1.0,1.0,2.0,0,0,0,0.0
8,92,ARG,256.0,33.4,0.0,0.0,1.0,1.0,0,0,0,0.0
8,96,ARG,294.0,35.2,0.0,2.0,1.0,3.0,0,0,0,0.0
9,96,ARM,3.05,3.774,1.0,1.0,0.0,2.0,0,0,0,0.0
10,92,ARU,1.1,0.069,0.0,0.0,0.0,0.0,0,0,0,0.0
10,96,ARU,1.83,0.08581,0.0,0.0,0.0,0.0,0,0,0,0.0
11,88,AUS,300.0,16.5,3.0,6.0,5.0,14.0,0,0,0,0.0
11,92,AUS,319.0,17.5,7.0,9.0,11.0,27.0,0,0,0,0.0
11,68,AUS,151.0,12.0,5.0,7.0,5.0,17.0,0,0,0,0.0
11,96,AUS,376.0,18.3,9.0,9.0,23.0,41.0,0,0,0,0.0
11,64,AUS,123.0,11.2,6.0,2.0,10.0,18.0,0,0,0,0.0
11,72,AUS,181.0,13.2,8.0,7.0,2.0,17.0,0,0,0,0.0
11,60,AUS,99.2,10.3,8.0,8.0,6.0,22.0,0,0,0,0.0
11,76,AUS,204.0,14.0,0.0,1.0,4.0,5.0,0,0,0,0.0
12,88,AUT,193.0,7.595,1.0,0.0,0.0,1.0,0,0,0,0.0
12,60,AUT,73.9,7.048,1.0,1.0,0.0,2.0,0,0,0,0.0
12,64,AUT,88.0,7.215,0.0,0.0,0.0,0.0,0,0,0,0.0
12,68,AUT,103.0,7.362,0.0,2.0,2.0,4.0,0,0,0,0.0
12,72,AUT,131.0,7.51,0.0,1.0,2.0,3.0,0,0,0,0.0
12,76,AUT,149.0,7.552,0.0,0.0,1.0,1.0,0,0,0,0.0
12,92,AUT,220.0,7.9114,0.0,2.0,0.0,2.0,0,0,0,0.0
12,96,AUT,235.0,8.059,0.0,1.0,2.0,3.0,0,0,0,0.0
13,96,AZE,3.54,7.555,0.0,1.0,0.0,1.0,0,0,0,0.0
14,64,BHS,1.38,0.133,1.0,0.0,0.0,1.0,0,0,0,0.0
14,60,BHS,0.923,0.113,0.0,0.0,0.0,0.0,0,0,0,0.0
14,68,BHS,1.97,0.157,0.0,0.0,0.0,0.0,0,0,0,0.0
14,72,BHS,1.99,0.178,0.0,0.0,0.0,0.0,0,0,0,0.0
14,76,BHS,1.6,0.193,0.0,0.0,0.0,0.0,0,0,0,0.0
14,88,BHS,3.44,0.245,0.0,0.0,0.0,0.0,0,0,0,0.0
14,92,BHS,3.4,0.26249,0.0,0.0,1.0,1.0,0,0,0,0.0
14,96,BHS,3.45,0.284,0.0,1.0,0.0,1.0,0,0,0,0.0
15,88,BAH,4.2,0.473,0.0,0.0,0.0,0.0,0,0,0,0.0
15,92,BAH,4.85,0.519,0.0,0.0,0.0,0.0,0,0,0,0.0
15,96,BAH,5.66,0.599,0.0,0.0,0.0,0.0,0,0,0,0.0
16,88,BGD,27.7,106.0,0.0,0.0,0.0,0.0,0,0,0,0.0
16,92,BGD,32.8,114.0,0.0,0.0,0.0,0.0,0,0,0,0.0
16,96,BGD,39.5,122.0,0.0,0.0,0.0,0.0,0,0,0,0.0
17,68,BRB,1.02,0.2376,0.0,0.0,0.0,0.0,0,0,0,0.0
17,72,BRB,1.26,0.2419,0.0,0.0,0.0,0.0,0,0,0,0.0
17,76,BRB,1.27,0.2464,0.0,0.0,0.0,0.0,0,0,0,0.0
17,88,BRB,1.78,0.255,0.0,0.0,0.0,0.0,0,0,0,0.0
17,92,BRB,1.64,0.262,0.0,0.0,0.0,0.0,0,0,0,0.0
17,96,BRB,1.75,0.2644,0.0,0.0,0.0,0.0,0,0,0,0.0
18,96,BLR,19.0,10.3,1.0,6.0,8.0,15.0,0,0,0,0.0
19,96,BEL,277.0,10.2,2.0,2.0,2.0,6.0,0,0,0,0.0
19,64,BEL,120.0,9.367,2.0,0.0,1.0,3.0,0,0,0,0.0
19,60,BEL,97.0,9.119,0.0,2.0,2.0,4.0,0,0,0,0.0
19,68,BEL,137.0,9.59,0.0,0.0,0.0,0.0,0,0,0,0.0
19,72,BEL,169.0,9.709,0.0,2.0,0.0,2.0,0,0,0,0.0
19,76,BEL,194.0,9.811,0.0,3.0,3.0,6.0,0,0,0,0.0
19,88,BEL,241.0,9.902,0.0,0.0,2.0,2.0,0,0,0,0.0
19,92,BEL,265.0,10.0,0.0,1.0,2.0,3.0,0,0,0,0.0
20,68,BLZ,0.134,0.11579,0.0,0.0,0.0,0.0,0,0,0,0.0
20,72,BLZ,0.169,0.12321,0.0,0.0,0.0,0.0,0,0,0,0.0
20,76,BLZ,0.209,0.13141,0.0,0.0,0.0,0.0,0,0,0,0.0
20,88,BLZ,0.385,0.17968,0.0,0.0,0.0,0.0,0,0,0,0.0
20,92,BLZ,0.545,0.19953,0.0,0.0,0.0,0.0,0,0,0,0.0
20,96,BLZ,0.601,0.2224,0.0,0.0,0.0,0.0,0,0,0,0.0
21,76,BEN,1.0,3.10678,0.0,0.0,0.0,0.0,0,0,0,0.0
21,88,BEN,1.58,4.4492,0.0,0.0,0.0,0.0,0,0,0,0.0
21,96,BEN,2.12,5.63192,0.0,0.0,0.0,0.0,0,0,0,0.0
22,60,BER,1.71,0.0444,0.0,0.0,0.0,0.0,0,0,0,0.0
22,64,BER,1.74,0.0489,0.0,0.0,0.0,0.0,0,0,0,0.0
22,68,BER,1.77,0.053,0.0,0.0,0.0,0.0,0,0,0,0.0
22,76,BER,1.84,0.0532,0.0,0.0,1.0,1.0,0,0,0,0.0
22,72,BER,1.81,0.0542,0.0,0.0,0.0,0.0,0,0,0,0.0
22,88,BER,2.02,0.0587,0.0,0.0,0.0,0.0,0,0,0,0.0
22,92,BER,1.9,0.061,0.0,0.0,0.0,0.0,0,0,0,0.0
22,96,BER,2.03,0.0621,0.0,0.0,0.0,0.0,0,0,0,0.0
23,88,BTN,0.223,0.57498,0.0,0.0,0.0,0.0,0,0,0,0.0
23,92,BTN,0.263,0.63645,0.0,0.0,0.0,0.0,0,0,0,0.0
23,96,BTN,0.328,0.71587,0.0,0.0,0.0,0.0,0,0,0,0.0
24,64,BOL,2.4,3.66376,0.0,0.0,0.0,0.0,0,0,0,0.0
24,68,BOL,3.11,4.01662,0.0,0.0,0.0,0.0,0,0,0,0.0
24,72,BOL,3.89,4.42146,0.0,0.0,0.0,0.0,0,0,0,0.0
24,76,BOL,4.93,4.87721,0.0,0.0,0.0,0.0,0,0,0,0.0
24,88,BOL,5.06,6.27985,0.0,0.0,0.0,0.0,0,0,0,0.0
24,92,BOL,5.88,6.897,0.0,0.0,0.0,0.0,0,0,0,0.0
24,96,BOL,6.99,7.588,0.0,0.0,0.0,0.0,0,0,0,0.0
25,96,BOS,7.16,2.2536,0.0,0.0,0.0,0.0,0,0,0,0.0
25,92,BOS,12.0,3.837707,0.0,0.0,0.0,0.0,0,0,0,0.0
26,88,BWA,3.1,1.19707,0.0,0.0,0.0,0.0,0,0,0,0.0
26,92,BWA,4.28,1.35266,0.0,0.0,0.0,0.0,0,0,0,0.0
26,96,BWA,4.9,1.496,0.0,0.0,0.0,0.0,0,0,0,0.0
27,88,BRA,610.0,143.0,1.0,2.0,3.0,6.0,0,0,0,0.0
27,92,BRA,608.0,153.0,2.0,1.0,0.0,3.0,0,0,0,0.0
27,96,BRA,724.0,162.0,3.0,3.0,9.0,15.0,0,0,0,0.0
27,60,BRA,118.0,72.8,0.0,0.0,2.0,2.0,0,0,0,0.0
27,64,BRA,143.0,82.0,0.0,0.0,1.0,1.0,0,0,0,0.0
27,68,BRA,192.0,91.3,0.0,1.0,2.0,3.0,0,0,0,0.0
27,72,BRA,287.0,101.0,0.0,0.0,2.0,2.0,0,0,0,0.0
27,76,BRA,411.0,111.0,0.0,0.0,2.0,2.0,0,0,0,0.0
28,96,BTV,0.226,0.019123,0.0,0.0,0.0,0.0,0,0,0,0.0
29,88,BRN,4.8,0.24221,0.0,0.0,0.0,0.0,0,0,0,0.0
29,92,BRN,5.0,0.27206,0.0,0.0,0.0,0.0,0,0,0,0.0
29,96,BRN,5.12,0.30103,0.0,0.0,0.0,0.0,0,0,0,0.0
30,60,BGR,2.8,7.867,1.0,3.0,3.0,7.0,0,0,1,0.0
30,96,BGR,11.8,8.356,3.0,7.0,5.0,15.0,0,0,0,0.0
30,68,BGR,5.19,8.37,2.0,4.0,3.0,9.0,0,0,1,0.0
30,92,BGR,12.7,8.54,3.0,7.0,6.0,16.0,0,0,0,0.0
30,64,BGR,3.81,8.144,3.0,5.0,2.0,10.0,0,0,1,0.0
30,76,BGR,9.31,8.759,6.0,9.0,7.0,22.0,0,0,1,0.0
30,72,BGR,6.91,8.576,6.0,10.0,5.0,21.0,0,0,1,0.0
30,88,BGR,17.0,8.981,10.0,12.0,13.0,35.0,0,0,1,0.0
31,76,BFA,1.31,6.33907,0.0,0.0,0.0,0.0,0,0,0,0.0
31,88,BFA,2.01,8.47213,0.0,0.0,0.0,0.0,0,0,0,0.0
31,92,BFA,2.25,9.30645,0.0,0.0,0.0,0.0,0,0,0,0.0
31,96,BFA,2.49,10.2,0.0,0.0,0.0,0.0,0,0,0,0.0
32,96,BDI,0.914,6.29259,1.0,0.0,0.0,1.0,0,0,0,0.0
33,96,KHM,3.14,10.2,0.0,0.0,0.0,0.0,0,0,0,0.0
34,64,CMR,3.07,5.75426,0.0,0.0,0.0,0.0,0,0,0,0.0
34,68,CMR,3.11,6.30142,0.0,0.0,0.0,0.0,0,0,0,0.0
34,72,CMR,3.57,6.95419,0.0,0.0,0.0,0.0,0,0,0,0.0
34,76,CMR,4.38,7.73555,0.0,0.0,0.0,0.0,0,0,0,0.0
34,88,CMR,9.51,10.8,0.0,0.0,0.0,0.0,0,0,0,0.0
34,92,CMR,8.17,12.1,0.0,0.0,0.0,0.0,0,0,0,0.0
34,96,CMR,8.36,13.6,0.0,0.0,0.0,0.0,0,0,0,0.0
35,68,CAN,246.0,20.7,1.0,3.0,1.0,5.0,0,0,0,0.0
35,64,CAN,259.0,19.3,1.0,2.0,1.0,4.0,0,0,0,0.0
35,96,CAN,580.0,30.0,3.0,11.0,8.0,22.0,0,0,0,0.0
35,88,CAN,519.0,26.9,3.0,2.0,5.0,10.0,0,0,0,0.0
35,92,CAN,527.0,28.5,6.0,5.0,7.0,18.0,0,0,0,0.0
35,60,CAN,210.0,17.9,0.0,1.0,0.0,1.0,0,0,0,0.0
35,72,CAN,296.0,22.0,0.0,2.0,3.0,5.0,0,0,0,0.0
35,76,CAN,356.0,23.5,0.0,5.0,6.0,11.0,1,0,0,0.0
36,96,CPV,0.438,0.39073,0.0,0.0,0.0,0.0,0,0,0,0.0
37,76,CYM,0.2,0.01496041,0.0,0.0,0.0,0.0,0,0,0,0.0
37,88,CYM,0.476,0.02380289,0.0,0.0,0.0,0.0,0,0,0,0.0
37,96,CYM,0.707,0.03244046,0.0,0.0,0.0,0.0,0,0,0,0.0
38,68,CAF,0.797,1.77638,0.0,0.0,0.0,0.0,0,0,0,0.0
38,76,CAF,1.01,2.10442,0.0,0.0,0.0,0.0,0,0,0,0.0
38,88,CAF,1.1,2.80265,0.0,0.0,0.0,0.0,0,0,0,0.0
38,92,CAF,1.02,3.08212,0.0,0.0,0.0,0.0,0,0,0,0.0
38,96,CAF,1.12,3.35409,0.0,0.0,0.0,0.0,0,0,0,0.0
39,64,TCD,0.911,3.27635,0.0,0.0,0.0,0.0,0,0,0,0.0
39,68,TCD,0.902,3.51427,0.0,0.0,0.0,0.0,0,0,0,0.0
39,72,TCD,0.971,3.79805,0.0,0.0,0.0,0.0,0,0,0,0.0
39,76,TCD,1.05,4.10528,0.0,0.0,0.0,0.0,0,0,0,0.0
39,88,TCD,1.11,5.4958,0.0,0.0,0.0,0.0,0,0,0,0.0
39,92,TCD,1.4,6.05795,0.0,0.0,0.0,0.0,0,0,0,0.0
39,96,TCD,1.49,6.93735,0.0,0.0,0.0,0.0,0,0,0,0.0
40,60,CHL,13.6,7.608,0.0,0.0,0.0,0.0,0,0,0,0.0
40,64,CHL,16.2,8.37935,0.0,0.0,0.0,0.0,0,0,0,0.0
40,68,CHL,19.3,9.13608,0.0,0.0,0.0,0.0,0,0,0,0.0
40,72,CHL,22.0,9.84099,0.0,0.0,0.0,0.0,0,0,0,0.0
40,76,CHL,19.7,10.5,0.0,0.0,0.0,0.0,0,0,0,0.0
40,88,CHL,34.1,12.7,0.0,1.0,0.0,1.0,0,0,0,0.0
40,92,CHL,47.4,13.5,0.0,0.0,0.0,0.0,0,0,0,0.0
40,96,CHL,63.7,14.4,0.0,0.0,0.0,0.0,0,0,0,0.0
41,88,CHN,368.0,1100.0,5.0,11.0,12.0,28.0,0,1,0,0.0
41,96,CHN,767.0,1220.0,16.0,22.0,12.0,50.0,0,1,0,0.0
