dateid01,br,ffr,infn
2013-01-01,0.39,0.14,1.6411
2013-02-01,0.4,0.15,2.0187
2013-03-01,0.39,0.14,1.5146
2013-04-01,0.34,0.15,1.1315
2013-05-01,0.4,0.11,1.3907
2013-06-01,0.58,0.09,1.6707
2013-07-01,0.64,0.09,1.8632
2013-08-01,0.7,0.08,1.4701
2013-09-01,0.78,0.08,1.1265
2013-10-01,0.63,0.09,0.8939
2013-11-01,0.58,0.08,1.2343
2013-12-01,0.69,0.09,1.5032
2014-01-01,0.78,0.07,1.6159
2014-02-01,0.69,0.07,1.1467
2014-03-01,0.82,0.08,1.5713
2014-04-01,0.88,0.09,1.9972
2014-05-01,0.83,0.09,2.0976
2014-06-01,0.9,0.1,1.9834
2014-07-01,0.97,0.09,1.9286
2014-08-01,0.93,0.09,1.6716
2014-09-01,1.05,0.09,1.6361
2014-10-01,0.88,0.09,1.6078
2014-11-01,0.96,0.09,1.272
2014-12-01,1.06,0.12,0.6654
2015-01-01,0.9,0.11,-0.2007
2015-02-01,0.99,0.11,-0.0777
2015-03-01,1.02,0.11,0.0047
2015-04-01,0.87,0.12,-0.1142
2015-05-01,0.98,0.12,0.0249
2015-06-01,1.07,0.13,0.1644
2015-07-01,1.03,0.13,0.1902
2015-08-01,1.03,0.14,0.2337
2015-09-01,1.01,0.14,-0.008
2015-10-01,0.93,0.12,0.1203
2015-11-01,1.2,0.12,0.4355
2015-12-01,1.28,0.24,0.6564
2016-01-01,1.14,0.34,1.3501
2016-02-01,0.9,0.38,0.9799
2016-03-01,1.04,0.36,0.8813
2016-04-01,0.92,0.37,1.1395
2016-05-01,0.97,0.37,1.0377
2016-06-01,0.86,0.38,1.0154
2016-07-01,0.79,0.39,0.8464
2016-08-01,0.85,0.4,1.0782
2016-09-01,0.9,0.4,1.4793
2016-10-01,0.99,0.4,1.6276
2016-11-01,1.22,0.41,1.6846
2016-12-01,1.49,0.54,2.0701
